breed_id,breed_name,species,current_count,target_count,missing_count,status
cow_ladakhi,Ladakhi,cattle,5,50,45,UNDER_SUPPORTED
cow_lakhimi,Lakhimi,cattle,2,50,48,UNDER_SUPPORTED
cow_mahakaushali,Mahakaushali,cattle,2,50,48,UNDER_SUPPORTED
cow_malnad_gidda,Malnad Gidda,cattle,2,50,48,UNDER_SUPPORTED
cow_malvi,Malvi,cattle,3,50,47,UNDER_SUPPORTED
cow_masilum,Masilum,cattle,2,50,48,UNDER_SUPPORTED
cow_medini,Medini,cattle,3,50,47,UNDER_SUPPORTED
cow_mewati,Mewati,cattle,2,50,48,UNDER_SUPPORTED
cow_motu,Motu,cattle,2,50,48,UNDER_SUPPORTED
cow_nagori,Nagori,cattle,17,50,33,UNDER_SUPPORTED
cow_nari,Nari,cattle,3,50,47,UNDER_SUPPORTED
cow_nimari,Nimari,cattle,12,50,38,UNDER_SUPPORTED
cow_ongole,Ongole,cattle,29,50,21,UNDER_SUPPORTED
cow_periyar,Periyar,cattle,6,50,44,UNDER_SUPPORTED
cow_poda_thurpu,Poda Thurpu,cattle,2,50,48,UNDER_SUPPORTED
cow_ponwar,Ponwar,cattle,3,50,47,UNDER_SUPPORTED
cow_pulikulam,Pulikulam,cattle,2,50,48,UNDER_SUPPORTED
cow_punganur,Punganur,cattle,16,50,34,UNDER_SUPPORTED
cow_purnea,Purnea,cattle,2,50,48,UNDER_SUPPORTED
cow_rathi,Rathi,cattle,2,50,48,UNDER_SUPPORTED
cow_red_kandhari,Red Kandhari,cattle,3,50,47,UNDER_SUPPORTED
cow_red_sindhi,Red Sindhi,cattle,5,50,45,UNDER_SUPPORTED
cow_rohilkhandi,Rohilkhandi,cattle,2,50,48,UNDER_SUPPORTED
cow_sahiwal,Sahiwal,cattle,22,50,28,UNDER_SUPPORTED
cow_sanchori,Sanchori,cattle,2,50,48,UNDER_SUPPORTED
cow_shweta_kapila,Shweta Kapila,cattle,2,50,48,UNDER_SUPPORTED
cow_siri,Siri,cattle,21,50,29,UNDER_SUPPORTED
cow_tharparkar,Tharparkar,cattle,11,50,39,UNDER_SUPPORTED
cow_thutho,Thutho,cattle,2,50,48,UNDER_SUPPORTED
cow_umarda,Umarda,cattle,2,50,48,UNDER_SUPPORTED
cow_umblachery,Umblachery,cattle,2,50,48,UNDER_SUPPORTED
cow_vechur,Vechur,cattle,19,50,31,UNDER_SUPPORTED
